ADDRESS;METRIC;2018 jan;2018 feb;2018 mar;2018 apr;2018 maj;2018 jun;2018 jul;2018 aug;2018 sep;2018 okt;2018 nov;2018 dec
 Parkgatan 3-5  ;m3;3628;3251;3186;1944;706;546;435;536;1065;2000;2814;3890;
 Parkgatan 3-5  ;MWh;220470;215030;205040;116690;44830;34830;24820;34320;63240;117320;156870;210930;
 Parkgatan 3-5  ;kWh;882;760;803;769;341;353;187;398;757;902;879;936;
 Sturegr−nd 11  ;kWh;978;865;958;918;999;881;926;897;774;976;951;967;
 Sturegr−nd 1-9  ;kWh;1950;1782;1858;1735;1759;1731;1731;1680;1616;1737;1754;1763;
 Vasagatan 31-39  ;kWh;1037;995;777;292;139;113;122;146;167;274;577;633;
 Vasagatan 27  ;kWh;4132;3613;3210;3167;3443;3765;3949;4249;3934;4282;4036;4313;
 Vattugatan 9  ;m3;462;423;443;299;126;103;54;102;272;369;361;458;
 Vattugatan 9  ;MWh;23900;23820;23730;13830;5280;4260;1790;4190;8080;13350;17530;22780;
 Vattugatan 9  ;kWh;1739;1329;1378;2359;2763;2672;2657;2713;2826;2905;2851;2298;
Heimer 5,G„rdshus ;MWh;5120;5163;5235;2947;0640;0460;0014;0505;1414;2682;3666;5107;
 Dalagatan 8  ;m3;95;7782;2384;60;25;25;25;25;79;88;85;14;
 Dalagatan 8  ;MWh;5441;5400;4266;3136;0422;0409;0422;0422;2748;3108;3008;0501;
 Dalagatan 8  ;kWh;1383;1178;1156;1091;1339;1280;1017;1045;1029;1196;1235;1298;
 Dalen 6  ;kWh;1290;1222;1201;859;813;852;402;372;649;1003;1093;1221;
 Dalen 6  ;MWh;5925;6169;5940;3089;0862;0354;0087;0304;1253;2535;3779;5465;
 Dalen 4  ;m3;300;281;283;172;80;61;51;63;90;177;231;314;
 Dalen 4  ;MWh;18445;18583;17804;9310;3438;2282;1605;2220;4055;9296;13080;18323;
 Dalen 4  ;kWh;1291;1118;912;405;226;145;174;258;324;470;679;892;
 Vattugatan 13 A-F  ;kWh;2000;1748;1942;1963;1333;1234;1240;1248;1644;1811;1940;1980;
 Vattugatan 13 A-F  ;m3;275;NO_NUM;342;203;109;87;73;81;118;214;277;351;
 Vattugatan 13 A-F  ;MWh;16177;NO_NUM;20449;9980;3664;2745;1925;2253;4537;10253;14709;19792;
 Dalagatan 5 A-B  ;m3;128;118;120;82;50;36;28;37;70;96;107;133;
 Dalagatan 5 A-B  ;MWh;6031;6145;5788;3148;1458;1057;0678;1092;1931;3604;4727;6148;
 Dalagatan 5 A-B  ;kWh;385;302;300;284;285;276;274;303;310;310;318;339;
 Dalagatan 4 A-D  ;kWh;53;42;45;45;47;40;45;49;51;53;52;52;
 Dalagatan 6 A-D  ;kWh;50;40;46;57;70;64;71;71;65;59;54;50;
 Sahlstedtsgatan 2 A-B  ;kWh;4997;4402;4928;3811;5017;6820;7060;6899;6896;6510;5871;5011;
 Sahlstedtsgatan 4 A-B  ;m3;1471;1355;1421;895;490;415;326;419;653;917;1359;1705;
 Sahlstedtsgatan 4 A-B  ;MWh;90510;87110;87250;51490;24530;20170;15150;20400;34440;54050;78600;98030;
 Vattugatan 5-7  ;kWh;80;85;81;84;89;104;93;108;137;113;110;107;
 Tunagatan 13 A-D  ;m3;2805;2784;3004;2165;1006;747;657;866;1133;1629;2157;2838;
 Tunagatan 13 A-D  ;MWh;151910;154270;161420;112460;52550;38580;33880;42880;62410;81860;106620;141850;
 Tunagatan 13 A-D  ;kWh;9128;7985;8217;8205;6903;6377;5954;6321;6183;6718;6711;7099;
 Wallingatan 12-16  ;kWh;3763;2883;2928;2717;3160;2847;2723;2656;2711;3061;2951;2885;
Dalen 8 ;m3;190;179;182;123;79;70;60;63;81;122;147;184;
Dalen 8 ;MWh;12465;12579;12268;7241;4211;3744;3050;3101;4439;7051;8992;11703;
Dalen 8 ;kWh;996;892;983;965;1178;980;1011;1030;1004;1052;1048;1222;
 Ingelsgatan 18  ;kWh;1241;1072;1022;761;704;577;631;713;689;934;1008;1372;
 Simsgatan 2 A-C  ;m3;1145;1055;1050;581;239;174;155;169;289;574;803;1106;
 Simsgatan 2 A-C  ;MWh;61510;61310;58930;29700;9910;6610;5020;6240;14390;30010;41870;58030;
 Simsgatan 2 A-C  ;kWh;582;524;577;531;474;447;341;376;533;601;563;621;
 Lergatan 8  ;m3;535;511;461;324;170;127;102;136;182;312;392;497;
 Lergatan 8  ;MWh;26829;28780;23830;14203;6342;4618;3081;4484;8070;14335;18936;24390;
 Lergatan 8  ;kWh;1752;1563;1483;1022;748;660;560;749;906;1094;1291;1671;
 Hummelgatan 26 A-F  ;m3;487;434;448;335;202;180;142;166;221;322;396;480;
 Hummelgatan 26 A-F  ;MWh;24792;24268;23310;14041;5573;5069;2954;5161;8772;14356;18883;24113;
 Hummelgatan 26 A-F  ;kWh;1356;1153;1122;883;782;690;669;737;785;905;1021;1257;
 Vinterv−gen 5 ;MWh;7484;7429;7439;4924;1966;1758;0581;1863;3395;5039;5758;7343;
